"Freq [GHz]","Phase [deg]","Distance [um]","(phase3*180/pi) []","phase4*180/pi []"
184.25,0,379.68,-90.1187133339373,99.382618670671
184.25,0,386.46,-90.1061001189571,99.3831006760224
184.25,0,393.24,-90.0934853427401,99.3835820784099
184.25,0,400.02,-90.080869006184,99.384062878945
184.25,0,406.8,-90.0682511101876,99.3845430787366
184.25,0,413.58,-90.0556316556504,99.3850226788907
184.25,0,420.36,-90.0430106434727,99.3855016805108
184.25,0,427.14,-90.0303880745558,99.3859800846974
184.25,0,433.92,-90.0188969271517,99.3864578925485
184.25,0,440.7,-90.0118589960096,99.3869351051596
184.25,0,447.48,-90.0048219494391,99.4639852585798
184.25,0,454.26,-89.9977857874842,99.4717585586923
184.25,0,461.04,-90.0412102501538,99.4795441692176
184.25,0,467.82,-90.0465742960081,99.4873421191434
184.25,0,474.6,-90.0519358001239,99.0883694234734
184.25,0,481.38,-90.0572947642057,99.4295626785542
184.25,0,488.16,-90.0626511899568,99.3965130437782
184.25,0,494.94,-90.068005079079,99.3635198220235
184.25,0,501.72,-90.0733564332727,99.3305828908052
184.25,0,508.5,-90.0787052542369,99.2977021279074
184.25,0,515.28,-90.084051543669,99.2648774113825
184.25,0,522.06,-90.0893953032652,99.232108619551
184.25,0,528.84,-90.117241726052,99.1993956310016
184.25,0,535.62,-90.110929032948,99.1667383245902
184.25,0,542.4,-90.1046171741497,99.1341365794405
184.25,0,549.18,-90.0551226377501,99.3440529436056
184.25,0,555.96,-90.0547134725924,99.3328507699821
184.25,0,562.74,-90.0543021868183,99.321617839418
184.25,0,569.52,-90.0538887642419,99.3103540260482
184.25,0,576.3,-90.0534731885122,99.2990592033252
184.25,0,583.08,-90.1502897066035,99.2877332440135
184.25,0,589.86,-90.1560276181965,99.4636154880904
184.25,0,596.64,-90.1617698979614,99.4542266411352
184.25,0,603.42,-90.1675165507121,99.4448398402186
184.25,0,610.2,-90.3665526694046,99.4354550851749
184.25,0,616.98,-90.3365965830853,99.4260723758377
184.25,0,623.76,-90.3065807254598,99.4166917120403
184.25,0,630.54,-90.2765049339562,99.407313093616
184.25,0,637.32,-90.246369045485,99.3979365203972
184.25,0,644.1,-90.2161728964374,99.3885619922162
184.25,0,650.88,-90.1859163226829,99.3791895089051
184.25,0,657.66,-90.1555991595686,99.3698190702953
184.25,0,664.44,-90.125221241917,99.3604506762181
184.25,0,671.22,-90.0947824040244,99.3510843265042
184.25,0,678,-90.0642824796592,99.3417200209843
185.875,0,0,-104.424673579457,84.8493912433812
185.875,0,6.78,-104.630013418807,84.8441084497488
185.875,0,13.56,-104.644863267658,84.8388437052312
185.875,0,20.34,-104.659690502843,84.8335969175084
185.875,0,27.12,-104.674495174019,84.8283679948883
185.875,0,33.9,-104.689277330701,84.8231568463015
185.875,0,40.68,-104.704037022267,84.8179633812958
185.875,0,47.46,-104.718774297958,84.8127875100313
185.875,0,54.24,-104.733489206875,84.8076291432749
185.875,0,61.02,-104.748181797983,84.8024881923955
185.875,0,67.8,-104.762852120111,84.7973645693588
185.875,0,74.58,-104.777500221951,84.7922581867222
185.875,0,81.36,-104.792126152058,84.7871689576298
185.875,0,88.14,-104.806729958853,84.7820967958079
185.875,0,94.92,-104.454536971387,84.7770416155597
185.875,0,101.7,-104.46202964114,84.7720033317605
185.875,0,108.48,-104.469504071245,84.7669818598533
185.875,0,115.26,-104.476960327974,84.7619771158438
185.875,0,122.04,-104.484398477276,84.7569890162958
185.875,0,128.82,-104.491818584784,84.7520174783265
185.875,0,135.6,-104.499220715817,85.2193612896197
185.875,0,142.38,-104.506604935379,84.4580222201731
185.875,0,149.16,-104.51397130816,85.1415767826152
185.875,0,155.94,-104.521319898544,85.1427409825476
185.875,0,162.72,-104.528650770603,85.1439063095918
